p,rss,rsq,adjr2,cp,bic,(Intercept),is30dayreadmit1,evisit,age,genderMale,maritalstatusNot Married,insurancetypeMedicare,insurancetypePrivate,heartrate_transformed,respirationrate_transformed,mean_arterial_pressure,raceAsian,raceNative Amer/Alaskan,raceNatv Hawaii/Pacf Isl,raceOther/Multiracial,raceWhite,cindexmoderate,cindexnormal,cindexsevere,temperature_catlow,temperature_catnormal
1,2041.3596,0.046,0.0456,283.3848,-112.1873,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1981.0106,0.0742,0.0735,196.7432,-185.8736,1,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1928.1559,0.0989,0.0979,121.1093,-251.4956,1,0,1,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1897.5821,0.1132,0.1119,78.2019,-287.0469,1,0,1,1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1869.4346,0.1263,0.1247,38.8583,-319.773,1,0,1,1,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1859.5968,0.1309,0.129,26.4085,-326.2112,1,1,1,1,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1852.1193,0.1344,0.1322,17.4253,-329.2585,1,1,1,1,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1848.7621,0.136,0.1334,14.4942,-326.2835,1,1,1,1,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1846.5159,0.137,0.1342,13.1949,-321.681,1,1,1,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1843.6599,0.1384,0.1352,11,-317.9817,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2041.3596,0.046,0.0456,277.9644,-112.1873,1,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2,1981.0106,0.0742,0.0735,191.483,-185.8736,1,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
3,1928.1559,0.0989,0.0979,115.9895,-251.4956,1,0,1,1,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
4,1897.5821,0.1132,0.1119,73.1633,-287.0469,1,0,1,1,NA,NA,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
5,1869.4346,0.1263,0.1247,33.8944,-319.773,1,0,1,1,NA,NA,0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
6,1859.5968,0.1309,0.129,21.4707,-326.2112,1,1,1,1,NA,NA,0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
7,1852.1193,0.1344,0.1322,12.5074,-329.2585,1,1,1,1,NA,NA,0,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
8,1848.7621,0.136,0.1334,9.5852,-326.2835,1,1,1,1,NA,NA,1,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
9,1847.6716,0.1365,0.1336,9.9863,-319.9798,1,1,1,1,NA,NA,1,1,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA
10,1846.8032,0.1369,0.1337,10.7132,-313.3499,1,1,1,1,NA,NA,1,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA
11,1845.7762,0.1374,0.1339,11.2074,-306.9543,1,1,1,1,NA,NA,1,1,1,1,1,0,0,1,1,1,NA,NA,NA,NA,NA
12,1845.0684,0.1377,0.1339,12.1697,-300.0892,1,1,1,1,NA,NA,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA
13,1844.9527,0.1378,0.1336,14,-292.3517,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1,2041.3596,0.046,0.0456,320.2417,-112.1873,1,0,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
2,1981.0106,0.0742,0.0735,232.5105,-185.8736,1,0,1,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
3,1928.1559,0.0989,0.0979,155.9223,-251.4956,1,0,1,1,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0
4,1897.5821,0.1132,0.1119,112.4629,-287.0469,1,0,1,1,NA,0,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0
5,1869.4346,0.1263,0.1247,72.6111,-319.773,1,0,1,1,NA,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0
6,1855.9288,0.1326,0.1307,54.5298,-331.5797,1,0,1,1,NA,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0
7,1843.8102,0.1383,0.1361,38.511,-341.484,1,0,1,1,NA,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
8,1833.9674,0.1429,0.1404,25.8759,-348.1298,1,1,1,1,NA,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
9,1827.4871,0.1459,0.1431,18.2406,-349.8463,1,1,1,1,NA,0,0,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
10,1823.8544,0.1476,0.1445,14.8392,-347.3485,1,1,1,1,NA,0,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
